img,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
/games/boxart/full_5796453AmericaFrontccc.jpg,Star Fox: Zero,WiiU,Shooter,Nintendo,Nintendo EPD,67.0,0.44,0.2,0.09,0.12,0.03,2016-04-22,2018-11-18
/games/boxart/full_1832878AmericaFrontccc.jpg,NBA 2K18,NS,Sports,2K Sports,Visual Concepts,75.0,0.43,0.3,0.03,0.06,0.04,2017-09-19,2018-01-05
/games/boxart/full_9745171AmericaFrontccc.jpg,Doom (2016),NS,Shooter,Bethesda Softworks,id Software,82.0,0.43,0.24,0.01,0.15,0.04,2017-11-10,2018-01-05
/games/boxart/full_5283456AmericaFrontccc.png,Nintendo Labo: Toy-Con 03 Vehicle Kit,NS,Racing,Nintendo,Nintendo EPD,70.0,0.41,0.16,0.06,0.15,0.03,2018-09-14,2018-11-19
/games/boxart/full_9388379AmericaFrontccc.jpg,LocoRoco,PSP,Platform,Sony Computer Entertainment,SCE Japan Studio,81.0,0.39,0.14,0.16,0.05,0.03,2006-09-05,2018-09-17
/games/boxart/full_4099627AmericaFrontccc.jpg,Farming Simulator 2013,X360,Simulation,Focus Home Interactive,Giants Software,30.0,0.39,0.22,0.0,0.13,0.03,2013-11-19,2018-01-06
/games/boxart/full_7208237AmericaFrontccc.jpg,Metal Gear Solid: Snake Eater 3D,3DS,Action-Adventure,Konami Digital Entertainment,Konami Computer Entertainment Japan,79.0,0.39,0.15,0.1,0.12,0.02,2012-02-21,2018-08-05
/games/boxart/full_9401714AmericaFrontccc.jpg,Hatsune Miku: Project Mirai DX,3DS,Misc,Sega,Sega,75.0,0.38,0.2,0.11,0.04,0.03,2015-09-08,2018-05-29
/games/boxart/full_498443PALFrontccc.jpg,Wii Sports Club,WiiU,Sports,Nintendo,Nintendo,67.0,0.38,0.17,0.04,0.14,0.03,2014-07-25,2018-03-14
/games/boxart/full_6511169AmericaFrontccc.png,Burnout Paradise Remastered,PS4,Racing,Electronic Arts,Stellar Entertainment,80.0,0.37,0.08,0.01,0.22,0.06,2018-03-16,2018-02-24
/games/boxart/full_556920AmericaFrontccc.jpg,Sonic Lost World,WiiU,Platform,Sega,Sonic Team,60.0,0.37,0.2,0.01,0.13,0.03,2013-10-29,2018-04-07
/games/boxart/full_9593289AmericaFrontccc.png,Shin Megami Tensei IV: Apocalypse,3DS,Role-Playing,Atlus,Atlus,81.0,0.37,0.15,0.16,0.05,0.02,2016-09-20,2018-05-29
/games/boxart/full_890773AmericaFrontccc.jpg,LocoRoco 2,PSP,Platform,Sony Computer Entertainment,SCE Japan Studio,85.0,0.36,0.21,0.01,0.09,0.05,2009-02-10,2018-09-17
/games/boxart/full_harvest-moon-the-tale-of-two-towns_359AmericaFront.jpg,Harvest Moon: The Tale of Two Towns,3DS,Simulation,Natsume,Marvelous Interactive,63.0,0.36,0.28,0.05,0.0,0.02,2011-11-01,2018-01-07
/games/boxart/full_2615528AmericaFrontccc.jpg,The Wonderful 101,WiiU,Action,Nintendo,PlatinumGames,80.0,0.36,0.15,0.08,0.11,0.02,2013-09-15,2018-03-14
/games/boxart/full_4729465AmericaFrontccc.jpg,Nintendo Labo: Toy-Con 02 Robot Kit,NS,Action,Nintendo,Nintendo EPD,70.0,0.36,0.18,0.08,0.08,0.03,2018-04-20,2018-11-18
/games/boxart/full_5971418AmericaFrontccc.jpg,Call of Duty: Ghosts,WiiU,Shooter,Activision,Infinity Ward,88.0,0.35,0.22,0.01,0.09,0.03,2013-11-05,2018-03-21
/games/boxart/full_8533911AmericaFrontccc.jpg,Dead or Alive 5 Last Round,PS4,Fighting,Tecmo Koei,Team Ninja,71.0,0.35,0.09,0.09,0.13,0.04,2015-02-17,2018-11-20
/games/boxart/full_3131102AmericaFrontccc.jpg,Dragon Ball Z: Extreme Butoden,3DS,Fighting,Namco Bandai Games,Arc System Works,50.0,0.35,0.13,0.17,0.03,0.02,2015-10-20,2018-01-17
/games/boxart/1410926ccc.jpg,The Eye of Judgment,PS3,Strategy,Sony Computer Entertainment,SCE Japan Studio,75.0,0.34,0.28,0.02,0.0,0.03,2007-10-24,2018-09-16
/games/boxart/full_7740042AmericaFrontccc.jpg,Dead or Alive 5,X360,Fighting,Tecmo Koei,Team Ninja,76.0,0.33,0.2,0.03,0.08,0.03,2012-09-25,2018-01-23
/games/boxart/full_1348041AmericaFrontccc.jpg,Kirby: Battle Royale,3DS,Fighting,Nintendo,HAL Laboratory,60.0,0.33,0.07,0.2,0.05,0.01,2018-01-19,2018-01-03
/games/boxart/full_3302971AmericaFrontccc.jpg,Tokyo Mirage Sessions #FE,WiiU,Role-Playing,Nintendo,Atlus,80.0,0.33,0.17,0.08,0.06,0.02,2016-06-24,2020-07-23
/games/boxart/full_3797957AmericaFrontccc.jpg,Final Fantasy XI: Online,PS2,MMO,Square Enix,Square Enix,84.0,0.32,0.08,0.15,0.06,0.02,2004-09-21,2018-04-22
/games/boxart/full_5861233AmericaFrontccc.jpg,Chibi-Robo! Zip Lash,3DS,Platform,Nintendo,Nintendo,55.0,0.32,0.14,0.07,0.09,0.02,2015-10-09,2018-01-14
/games/boxart/full_7120054AmericaFrontccc.jpg,Fuel,X360,Racing,Codemasters,Asobo Studio,66.0,0.31,0.09,0.0,0.18,0.04,2009-06-02,2020-08-05
/games/boxart/full_catherine_759AmericaFront.jpg,Catherine,X360,Puzzle,Atlus,Atlus,79.0,0.31,0.2,0.03,0.06,0.02,2011-07-26,2018-09-12
/games/boxart/full_8887860AmericaFrontccc.jpg,Monopoly for Nintendo Switch,NS,Board Game,Ubisoft,Engine Software,53.0,0.3,0.06,0.01,0.22,0.02,2017-10-31,2019-01-28
/games/boxart/full_4075012PALFrontccc.jpg,F1 2013,X360,Racing,Codemasters,Codemasters Birmingham,79.0,0.3,0.01,0.0,0.28,0.02,2013-10-08,2018-05-24
/games/boxart/full_4283479AmericaFrontccc.jpg,Ever Oasis,3DS,Role-Playing,Nintendo,GREZZO,81.0,0.29,0.13,0.05,0.08,0.02,2017-06-23,2018-01-14
